block,trial,event,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue,blink
1,1,baseline,nan,-1.8350240454310551,nan,nan,nan,nan,nan,1769.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.8330225891550072,nan,nan,nan,nan,nan,1773.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.8310205794405192,nan,nan,nan,nan,nan,1782.0,4.0,nan,nan,nan
1,1,baseline,nan,-1.8290207836544141,nan,nan,nan,nan,nan,1785.0,9.0,nan,nan,nan
1,1,baseline,nan,-1.8270187738817185,nan,nan,nan,nan,nan,1786.0,3.0,nan,nan,nan
1,1,baseline,nan,-1.825016487389803,nan,nan,nan,nan,nan,1790.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.8230164148844779,nan,nan,nan,nan,nan,1790.0,4.0,nan,nan,nan
1,1,baseline,nan,-1.8210163423791528,nan,nan,nan,nan,nan,1790.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8190065835951827,nan,nan,nan,nan,nan,1790.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.816995994595345,nan,nan,nan,nan,nan,1790.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.815005608368665,nan,nan,nan,nan,nan,1781.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8130058125825599,nan,nan,nan,nan,nan,1781.0,-9.0,nan,nan,nan
1,1,baseline,nan,-1.8109910723287612,nan,nan,nan,nan,nan,1779.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8089904463267885,nan,nan,nan,nan,nan,1779.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.806988436554093,nan,nan,nan,nan,nan,1779.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8049883640487678,nan,nan,nan,nan,nan,1779.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.8029985313187353,nan,nan,nan,nan,nan,1774.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.800984898058232,nan,nan,nan,nan,nan,1774.0,-5.0,nan,nan,nan
1,1,baseline,nan,-1.7989842719980516,nan,nan,nan,nan,nan,1774.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7969822622835636,nan,nan,nan,nan,nan,1774.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7949813595041633,nan,nan,nan,nan,nan,1774.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7929807335021906,nan,nan,nan,nan,nan,1775.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.790978447010275,nan,nan,nan,nan,nan,1775.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.788976990734227,nan,nan,nan,nan,nan,1775.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.786975257738959,nan,nan,nan,nan,nan,1775.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7849729711888358,nan,nan,nan,nan,nan,1776.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7829712381935678,nan,nan,nan,nan,nan,1776.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.7809695051982999,nan,nan,nan,nan,nan,1776.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7789694326929748,nan,nan,nan,nan,nan,1776.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.776968806691002,nan,nan,nan,nan,nan,1776.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7749803576734848,nan,nan,nan,nan,nan,1776.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.772967001190409,nan,nan,nan,nan,nan,1774.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7709649914177135,nan,nan,nan,nan,nan,1774.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.7689765424001962,nan,nan,nan,nan,nan,1776.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7669623556430452,nan,nan,nan,nan,nan,1776.0,2.0,nan,nan,nan
1,1,baseline,nan,-1.7649617296410725,nan,nan,nan,nan,nan,1776.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.762960826861672,nan,nan,nan,nan,nan,1777.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.760960754356347,nan,nan,nan,nan,nan,1777.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.7589579143677838,nan,nan,nan,nan,nan,1772.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7569556278176606,nan,nan,nan,nan,nan,1772.0,-5.0,nan,nan,nan
1,1,baseline,nan,-1.7549555553123355,nan,nan,nan,nan,nan,1777.0,0.0,nan,nan,nan
