block,trial,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample
1,2,11758914309.55464,12.231528345131665,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,-0.004,1486.0
1,2,11758916360.703547,12.233578813946224,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,-0.003,1486.0
1,2,11758918432.929476,12.235651423077798,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1487.0,0.001,1487.0
1,2,11758920487.150887,12.237704936182126,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1487.0,0.001,1487.0
1,2,11758922536.427868,12.239753744477639,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1488.0,0.001,1488.0
1,2,11758924589.579311,12.24180725759652,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1488.0,0.001,1488.0
1,2,11758926655.347725,12.243872671126155,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1488.0,0.0,1488.0
1,2,11758928708.50077,12.24592590748216,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1488.0,0.0,1488.0
1,2,11758930772.610756,12.247989383729873,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1488.0,0.0,1488.0
1,2,11758932832.71854,12.250048985428293,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1488.0,0.0,1488.0
1,2,11758934884.804169,12.252100838013575,10.7,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,-0.002,1486.0
1,2,11758940836.415743,12.258052981749643,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,-0.002,1486.0
1,2,11758942830.807428,12.260046439288999,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,0.0,1486.0
1,2,11758944908.131279,12.262122092710342,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,0.0,1486.0
1,2,11758946989.348654,12.264204388207872,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1484.0,-0.002,1484.0
1,2,11758949053.68168,12.26626869472966,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,-0.004,1482.0
1,2,11758951158.848047,12.268373407292529,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,-0.002,1482.0
1,2,11758953220.031086,12.27044601640955,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.0,1482.0
1,2,11758955295.090464,12.272508939146064,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.0,1482.0
1,2,11758957347.368654,12.274560514983023,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.0,1482.0
1,2,11758959406.60128,12.276619009673595,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1484.0,0.002,1484.0
1,2,11758961460.709255,12.278673629800323,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1485.0,0.003,1485.0
1,2,11758963524.75507,12.280736829299713,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1487.0,0.003,1487.0
1,2,11758965583.719969,12.282796707746456,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1487.0,0.002,1487.0
1,2,11758967653.84557,12.284866272573709,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,-0.001,1486.0
1,2,11758969712.048658,12.286924213753082,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,-0.001,1486.0
1,2,11758971764.247684,12.288988797008642,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,0.0,1486.0
1,2,11758973841.574677,12.291054487286601,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,0.0,1486.0
1,2,11758975919.583183,12.293131801226991,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,0.0,1486.0
1,2,11758978031.771519,12.295243709391798,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1481.0,-0.005,1481.0
1,2,11758980091.956089,12.297303864601417,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1477.0,-0.009,1477.0
1,2,11758982149.936968,12.29936125225504,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1477.0,-0.004,1477.0
1,2,11758984222.038229,12.30143303112709,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1478.0,0.001,1478.0
1,2,11758986281.917465,12.303492356062634,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1479.0,0.002,1479.0
1,2,11758988345.819117,12.305556385821546,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,0.002,1480.0
1,2,11758990403.782734,12.307614880497567,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1485.0,0.006,1485.0
1,2,11758992475.80708,12.309686936117942,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1485.0,0.005,1485.0
1,2,11758994553.890938,12.311764526806655,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,-0.003,1482.0
1,2,11758996616.87312,12.313827726306044,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,-0.003,1482.0
1,2,11758998683.015657,12.31589313983568,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1481.0,-0.001,1481.0
1,2,11759000770.175344,12.317980693667778,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1479.0,-0.003,1479.0
1,2,11759002763.291838,12.319972767436411,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1481.0,0.0,1481.0
1,2,11759004821.466002,12.322030985364108,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1484.0,0.005,1484.0
1,2,11759006879.576681,12.32408892652893,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1484.0,0.003,1484.0
1,2,11759008940.265148,12.326152126028319,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1479.0,-0.005,1479.0
1,2,11759011018.319845,12.32822888645751,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1479.0,-0.005,1479.0
1,2,11759013082.633448,12.330292639468098,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,0.001,1480.0
1,2,11759015139.88078,12.332349196862197,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1481.0,0.002,1481.0
1,2,11759017195.963163,12.334405754270847,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,0.0,1480.0
1,2,11759019286.0439,12.336494691873668,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,-0.001,1480.0
1,2,11759021343.083021,12.338551526030642,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,0.0,1480.0
1,2,11759023407.18136,12.340616109286202,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,0.0,1480.0
1,2,11759025465.137733,12.3426737737027,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.002,1482.0
1,2,11759027535.594978,12.34474250828498,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.002,1482.0
1,2,11759029593.423079,12.346801556472201,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.0,1482.0
1,2,11759031652.334618,12.348859774399898,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.0,1482.0
1,2,11759033710.327925,12.350917992327595,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1481.0,-0.001,1481.0
1,2,11759035762.361366,12.352983129094355,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,-0.002,1480.0
1,2,11759037840.663456,12.355049096120638,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,-0.001,1480.0
1,2,11759039881.663456,12.35708987856924,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1481.0,0.001,1481.0
1,2,11759041964.690384,12.359176602127263,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1481.0,0.001,1481.0
1,2,11759043970.376575,12.361183343862649,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.001,1482.0
1,2,11759046024.229044,12.363239070997224,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.001,1482.0
1,2,11759048083.364464,12.36529784243612,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.0,1482.0
1,2,11759050142.537174,12.367357720882865,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.0,1482.0
1,2,11759052152.88643,12.369368890664191,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1482.0,0.0,1482.0
1,2,11759054212.368702,12.371441223032889,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,-0.002,1480.0
1,2,11759056287.761328,12.373504145783954,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1478.0,-0.004,1478.0
1,2,11759058341.3861,12.375558489147807,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1478.0,-0.002,1478.0
1,2,11759060401.058378,12.377618090846227,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1476.0,-0.002,1476.0
1,2,11759062454.85721,12.37967243422463,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1474.0,-0.004,1474.0
1,2,11759064509.680065,12.381727054351359,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1473.0,-0.003,1473.0
1,2,11759066568.566463,12.38378610253858,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1473.0,-0.001,1473.0
1,2,11759068559.655134,12.38577679253649,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1475.0,0.002,1475.0
1,2,11759070615.682032,12.387833626693464,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1475.0,0.002,1475.0
1,2,11759072676.66839,12.389894335414283,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1475.0,0.0,1475.0
1,2,11759074732.655022,12.391950062548858,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1475.0,0.0,1475.0
1,2,11759076808.121922,12.394025162459002,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1475.0,0.0,1475.0
1,2,11759078865.139482,12.396082273378852,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1474.0,-0.001,1474.0
1,2,11759080922.276693,12.398152391717304,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1474.0,-0.001,1474.0
1,2,11759083003.291159,12.400221679796232,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1476.0,0.002,1476.0
