block,trial,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue_no
1,1,13293932425.494154,15.657147996855201,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1839.0,0.001,1839.0,green
1,1,13293934530.82427,15.65925464668544,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1839.0,0.001,1839.0,green
1,1,13293936562.827785,15.661287126509706,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1839.0,0.0,1839.0,green
1,1,13293938595.95123,15.663320436608046,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1838.0,-0.001,1838.0,green
1,1,13293940634.892204,15.665358174737776,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1838.0,-0.001,1838.0,green
1,1,13293942680.954361,15.667405876039993,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1838.0,0.0,1838.0,green
1,1,13293944715.555273,15.669441123405704,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1838.0,0.0,1838.0,green
1,1,13293946746.644167,15.671484119870001,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1838.0,0.0,1838.0,green
1,1,13293948790.471283,15.673514662397793,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1838.0,0.0,1838.0,green
1,1,13293950820.421858,15.675544928206364,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1838.0,0.0,1838.0,green
1,1,13293952854.11342,15.677578238304704,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1843.0,0.005,1843.0,green
1,1,13293954881.891151,15.679606566816801,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1843.0,0.005,1843.0,green
1,1,13293956917.553328,15.681642090930836,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1843.0,0.0,1843.0,green
1,1,13293958973.662262,15.683700032095658,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1844.0,0.001,1844.0,green
