block,trial,event,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue
1,1,baseline,nan,-1.7393537720490713,nan,nan,nan,nan,nan,1236.0,0.0,nan,nan
1,1,baseline,nan,-1.7373534227954224,nan,nan,nan,nan,nan,1236.0,1.0,nan,nan
1,1,baseline,nan,-1.7353519665484782,nan,nan,nan,nan,nan,1236.0,0.0,nan,nan
1,1,baseline,nan,-1.7333513405174017,nan,nan,nan,nan,nan,1236.0,0.0,nan,nan
1,1,baseline,nan,-1.7313509912637528,nan,nan,nan,nan,nan,1239.0,0.0,nan,nan
1,1,baseline,nan,-1.7293484280235134,nan,nan,nan,nan,nan,1239.0,3.0,nan,nan
1,1,baseline,nan,-1.727347525244113,nan,nan,nan,nan,nan,1240.0,0.0,nan,nan
1,1,baseline,nan,-1.725345792248845,nan,nan,nan,nan,nan,1241.0,1.0,nan,nan
1,1,baseline,nan,-1.7233448894985486,nan,nan,nan,nan,nan,1245.0,1.0,nan,nan
1,1,baseline,nan,-1.7213448169932235,nan,nan,nan,nan,nan,1246.0,4.0,nan,nan
1,1,baseline,nan,-1.719342807220528,nan,nan,nan,nan,nan,1247.0,1.0,nan,nan
1,1,baseline,nan,-1.7173405206995085,nan,nan,nan,nan,nan,1249.0,1.0,nan,nan
1,1,baseline,nan,-1.7153401714458596,nan,nan,nan,nan,nan,1249.0,2.0,nan,nan
1,1,baseline,nan,-1.7133403756888583,nan,nan,nan,nan,nan,1249.0,0.0,nan,nan
1,1,baseline,nan,-1.7113375357002951,nan,nan,nan,nan,nan,1247.0,0.0,nan,nan
1,1,baseline,nan,-1.709336356172571,nan,nan,nan,nan,nan,1247.0,-2.0,nan,nan
1,1,baseline,nan,-1.7073351766739506,nan,nan,nan,nan,nan,1250.0,0.0,nan,nan
1,1,baseline,nan,-1.705334273923654,nan,nan,nan,nan,nan,1250.0,3.0,nan,nan
1,1,baseline,nan,-1.7033336478925776,nan,nan,nan,nan,nan,1250.0,0.0,nan,nan
1,1,baseline,nan,-1.7013324683939572,nan,nan,nan,nan,nan,1250.0,0.0,nan,nan
1,1,baseline,nan,-1.6993321191403084,nan,nan,nan,nan,nan,1249.0,0.0,nan,nan
1,1,baseline,nan,-1.6973295558709651,nan,nan,nan,nan,nan,1249.0,-1.0,nan,nan
1,1,baseline,nan,-1.695328099624021,nan,nan,nan,nan,nan,1250.0,0.0,nan,nan
1,1,baseline,nan,-1.6933263665996492,nan,nan,nan,nan,nan,1250.0,1.0,nan,nan
1,1,baseline,nan,-1.6913254638493527,nan,nan,nan,nan,nan,1250.0,0.0,nan,nan
1,1,baseline,nan,-1.6893259448406752,nan,nan,nan,nan,nan,1250.0,0.0,nan,nan
1,1,baseline,nan,-1.6873247653420549,nan,nan,nan,nan,nan,1250.0,0.0,nan,nan
1,1,baseline,nan,-1.6853235858143307,nan,nan,nan,nan,nan,1250.0,0.0,nan,nan
1,1,baseline,nan,-1.6833237900573295,nan,nan,nan,nan,nan,1250.0,0.0,nan,nan
1,1,baseline,nan,-1.6813248245452996,nan,nan,nan,nan,nan,1251.0,0.0,nan,nan
1,1,baseline,nan,-1.6793230915500317,nan,nan,nan,nan,nan,1251.0,1.0,nan,nan
1,1,baseline,nan,-1.6773230190447066,nan,nan,nan,nan,nan,1258.0,0.0,nan,nan
1,1,baseline,nan,-1.6753226697910577,nan,nan,nan,nan,nan,1259.0,7.0,nan,nan
1,1,baseline,nan,-1.6733225972857326,nan,nan,nan,nan,nan,1259.0,1.0,nan,nan
1,1,baseline,nan,-1.6713214177580085,nan,nan,nan,nan,nan,1258.0,0.0,nan,nan
1,1,baseline,nan,-1.6693210685043596,nan,nan,nan,nan,nan,1258.0,-1.0,nan,nan
1,1,baseline,nan,-1.6673196122574154,nan,nan,nan,nan,nan,1258.0,0.0,nan,nan
1,1,baseline,nan,-1.6653184327296913,nan,nan,nan,nan,nan,1259.0,0.0,nan,nan
1,1,baseline,nan,-1.6633175299793947,nan,nan,nan,nan,nan,1260.0,1.0,nan,nan
1,1,baseline,nan,-1.6613171807257459,nan,nan,nan,nan,nan,1258.0,1.0,nan,nan
1,1,baseline,nan,-1.659316831472097,nan,nan,nan,nan,nan,1258.0,-2.0,nan,nan
1,1,baseline,nan,-1.657318142708391,nan,nan,nan,nan,nan,1258.0,0.0,nan,nan
1,1,baseline,nan,-1.6553119816817343,nan,nan,nan,nan,nan,1258.0,0.0,nan,nan
1,1,baseline,nan,-1.6533113556797616,nan,nan,nan,nan,nan,1258.0,0.0,nan,nan
1,1,baseline,nan,-1.6513087924395222,nan,nan,nan,nan,nan,1258.0,0.0,nan,nan
1,1,baseline,nan,-1.6493081664084457,nan,nan,nan,nan,nan,1262.0,0.0,nan,nan
1,1,baseline,nan,-1.647306156664854,nan,nan,nan,nan,nan,1262.0,4.0,nan,nan
1,1,baseline,nan,-1.6453049771662336,nan,nan,nan,nan,nan,1262.0,0.0,nan,nan
1,1,baseline,nan,-1.6433040743868332,nan,nan,nan,nan,nan,1262.0,0.0,nan,nan
1,1,baseline,nan,-1.641304278629832,nan,nan,nan,nan,nan,1263.0,0.0,nan,nan
1,1,baseline,nan,-1.6393030991312116,nan,nan,nan,nan,nan,1264.0,1.0,nan,nan
1,1,baseline,nan,-1.637302473129239,nan,nan,nan,nan,nan,1263.0,1.0,nan,nan
1,1,baseline,nan,-1.6353001866082195,nan,nan,nan,nan,nan,1263.0,-1.0,nan,nan
1,1,baseline,nan,-1.6332995606062468,nan,nan,nan,nan,nan,1264.0,0.0,nan,nan
1,1,baseline,nan,-1.631299211352598,nan,nan,nan,nan,nan,1265.0,1.0,nan,nan
1,1,baseline,nan,-1.62929775507655,nan,nan,nan,nan,nan,1266.0,1.0,nan,nan
1,1,baseline,nan,-1.627297405822901,nan,nan,nan,nan,nan,1267.0,1.0,nan,nan
1,1,baseline,nan,-1.625295949575957,nan,nan,nan,nan,nan,1267.0,1.0,nan,nan
1,1,baseline,nan,-1.6232958770706318,nan,nan,nan,nan,nan,1267.0,0.0,nan,nan
1,1,baseline,nan,-1.6212946975429077,nan,nan,nan,nan,nan,1267.0,0.0,nan,nan
1,1,baseline,nan,-1.6192937947926112,nan,nan,nan,nan,nan,1272.0,0.0,nan,nan
1,1,baseline,nan,-1.6172920617682394,nan,nan,nan,nan,nan,1272.0,5.0,nan,nan
1,1,baseline,nan,-1.615290882269619,nan,nan,nan,nan,nan,1272.0,0.0,nan,nan
1,1,baseline,nan,-1.6132894260226749,nan,nan,nan,nan,nan,1272.0,0.0,nan,nan
1,1,baseline,nan,-1.6112899070139974,nan,nan,nan,nan,nan,1271.0,0.0,nan,nan
1,1,baseline,nan,-1.6092867902480066,nan,nan,nan,nan,nan,1271.0,-1.0,nan,nan
1,1,baseline,nan,-1.60728588749771,nan,nan,nan,nan,nan,1271.0,0.0,nan,nan
1,1,baseline,nan,-1.6052833242283668,nan,nan,nan,nan,nan,1272.0,0.0,nan,nan
1,1,baseline,nan,-1.6032821447297465,nan,nan,nan,nan,nan,1271.0,1.0,nan,nan
1,1,baseline,nan,-1.601280134957051,nan,nan,nan,nan,nan,1271.0,-1.0,nan,nan
1,1,baseline,nan,-1.599279785703402,nan,nan,nan,nan,nan,1271.0,0.0,nan,nan
1,1,baseline,nan,-1.5972791597014293,nan,nan,nan,nan,nan,1271.0,0.0,nan,nan
1,1,baseline,nan,-1.5952771499287337,nan,nan,nan,nan,nan,1270.0,0.0,nan,nan
1,1,baseline,nan,-1.593276523926761,nan,nan,nan,nan,nan,1270.0,-1.0,nan,nan
1,1,baseline,nan,-1.591276174673112,nan,nan,nan,nan,nan,1271.0,0.0,nan,nan
1,1,baseline,nan,-1.5892749951744918,nan,nan,nan,nan,nan,1272.0,1.0,nan,nan
1,1,baseline,nan,-1.58727326215012,nan,nan,nan,nan,nan,1271.0,1.0,nan,nan
1,1,baseline,nan,-1.5852723593998235,nan,nan,nan,nan,nan,1271.0,-1.0,nan,nan
1,1,baseline,nan,-1.5832711798720993,nan,nan,nan,nan,nan,1273.0,0.0,nan,nan
1,1,baseline,nan,-1.5812688933801837,nan,nan,nan,nan,nan,1273.0,2.0,nan,nan
1,1,baseline,nan,-1.5792685441265348,nan,nan,nan,nan,nan,1273.0,0.0,nan,nan
1,1,baseline,nan,-1.5772673645988107,nan,nan,nan,nan,nan,1273.0,0.0,nan,nan
1,1,baseline,nan,-1.575266738596838,nan,nan,nan,nan,nan,1274.0,0.0,nan,nan
1,1,baseline,nan,-1.5732647288532462,nan,nan,nan,nan,nan,1275.0,1.0,nan,nan
1,1,baseline,nan,-1.5712646563188173,nan,nan,nan,nan,nan,1275.0,1.0,nan,nan
1,1,baseline,nan,-1.5692612628336065,nan,nan,nan,nan,nan,1275.0,0.0,nan,nan
1,1,baseline,nan,-1.5672600833058823,nan,nan,nan,nan,nan,1278.0,0.0,nan,nan
1,1,baseline,nan,-1.5652597340522334,nan,nan,nan,nan,nan,1278.0,3.0,nan,nan
1,1,baseline,nan,-1.5632582778052893,nan,nan,nan,nan,nan,1278.0,0.0,nan,nan
1,1,baseline,nan,-1.5612579285516404,nan,nan,nan,nan,nan,1278.0,0.0,nan,nan
1,1,baseline,nan,-1.5592564722755924,nan,nan,nan,nan,nan,1278.0,0.0,nan,nan
1,1,baseline,nan,-1.5572555695252959,nan,nan,nan,nan,nan,1275.0,0.0,nan,nan
1,1,baseline,nan,-1.5552532830042765,nan,nan,nan,nan,nan,1275.0,-3.0,nan,nan
1,1,baseline,nan,-1.5532526570023037,nan,nan,nan,nan,nan,1276.0,0.0,nan,nan
1,1,baseline,nan,-1.5512512007553596,nan,nan,nan,nan,nan,1276.0,1.0,nan,nan
1,1,baseline,nan,-1.5492500212276354,nan,nan,nan,nan,nan,1275.0,0.0,nan,nan
1,1,baseline,nan,-1.5472499487223104,nan,nan,nan,nan,nan,1274.0,-1.0,nan,nan
1,1,baseline,nan,-1.5452482157270424,nan,nan,nan,nan,nan,1274.0,-1.0,nan,nan
1,1,baseline,nan,-1.543245929206023,nan,nan,nan,nan,nan,1274.0,0.0,nan,nan
1,1,baseline,nan,-1.541245856700698,nan,nan,nan,nan,nan,1275.0,0.0,nan,nan
1,1,baseline,nan,-1.5392435701796785,nan,nan,nan,nan,nan,1275.0,1.0,nan,nan
1,1,baseline,nan,-1.5372415604360867,nan,nan,nan,nan,nan,1276.0,0.0,nan,nan
1,1,baseline,nan,-1.5352389971667435,nan,nan,nan,nan,nan,1276.0,1.0,nan,nan
1,1,baseline,nan,-1.5332392014097422,nan,nan,nan,nan,nan,1276.0,0.0,nan,nan
1,1,baseline,nan,-1.5312382986594457,nan,nan,nan,nan,nan,1276.0,0.0,nan,nan
1,1,baseline,nan,-1.529239056399092,nan,nan,nan,nan,nan,1277.0,0.0,nan,nan
1,1,baseline,nan,-1.527247286401689,nan,nan,nan,nan,nan,1277.0,1.0,nan,nan
1,1,baseline,nan,-1.5252339298895095,nan,nan,nan,nan,nan,1277.0,0.0,nan,nan
1,1,baseline,nan,-1.523233027110109,nan,nan,nan,nan,nan,1278.0,0.0,nan,nan
1,1,baseline,nan,-1.5212307406181935,nan,nan,nan,nan,nan,1280.0,1.0,nan,nan
1,1,baseline,nan,-1.519231221609516,nan,nan,nan,nan,nan,1280.0,2.0,nan,nan
1,1,baseline,nan,-1.5172289350884967,nan,nan,nan,nan,nan,1280.0,0.0,nan,nan
1,1,baseline,nan,-1.5152263718482573,nan,nan,nan,nan,nan,1280.0,0.0,nan,nan
1,1,baseline,nan,-1.5132246388238855,nan,nan,nan,nan,nan,1280.0,0.0,nan,nan
1,1,baseline,nan,-1.5112245663185604,nan,nan,nan,nan,nan,1280.0,0.0,nan,nan
1,1,baseline,nan,-1.5092225565749686,nan,nan,nan,nan,nan,1280.0,0.0,nan,nan
1,1,baseline,nan,-1.5072211002989206,nan,nan,nan,nan,nan,1283.0,0.0,nan,nan
1,1,baseline,nan,-1.5052201975486241,nan,nan,nan,nan,nan,1283.0,3.0,nan,nan
1,1,baseline,nan,-1.5032220622815657,nan,nan,nan,nan,nan,1283.0,0.0,nan,nan
1,1,baseline,nan,-1.5012170082773082,nan,nan,nan,nan,nan,1283.0,0.0,nan,nan
1,1,baseline,nan,-1.4992152752820402,nan,nan,nan,nan,nan,1283.0,0.0,nan,nan
1,1,baseline,nan,-1.4972138190059923,nan,nan,nan,nan,nan,1283.0,0.0,nan,nan
1,1,baseline,nan,-1.4952134697523434,nan,nan,nan,nan,nan,1281.0,0.0,nan,nan
1,1,baseline,nan,-1.4932128437503707,nan,nan,nan,nan,nan,1281.0,-2.0,nan,nan
1,1,baseline,nan,-1.4912124944967218,nan,nan,nan,nan,nan,1284.0,0.0,nan,nan
1,1,baseline,nan,-1.4892115917173214,nan,nan,nan,nan,nan,1284.0,3.0,nan,nan
1,1,baseline,nan,-1.487210412218701,nan,nan,nan,nan,nan,1284.0,0.0,nan,nan
1,1,baseline,nan,-1.4852097862167284,nan,nan,nan,nan,nan,1284.0,0.0,nan,nan
1,1,baseline,nan,-1.4832083299406804,nan,nan,nan,nan,nan,1286.0,0.0,nan,nan
1,1,baseline,nan,-1.4812063201970886,nan,nan,nan,nan,nan,1286.0,2.0,nan,nan
1,1,baseline,nan,-1.4792059709434398,nan,nan,nan,nan,nan,1287.0,0.0,nan,nan
1,1,baseline,nan,-1.477204237919068,nan,nan,nan,nan,nan,1287.0,1.0,nan,nan
1,1,baseline,nan,-1.4752041654137429,nan,nan,nan,nan,nan,1288.0,0.0,nan,nan
1,1,baseline,nan,-1.473203816160094,nan,nan,nan,nan,nan,1288.0,1.0,nan,nan
1,1,baseline,nan,-1.4712015296390746,nan,nan,nan,nan,nan,1288.0,0.0,nan,nan
1,1,baseline,nan,-1.4692017338820733,nan,nan,nan,nan,nan,1288.0,0.0,nan,nan
1,1,baseline,nan,-1.4672008311317768,nan,nan,nan,nan,nan,1286.0,0.0,nan,nan
1,1,baseline,nan,-1.4651999283814803,nan,nan,nan,nan,nan,1286.0,-2.0,nan,nan
1,1,baseline,nan,-1.4631976418604609,nan,nan,nan,nan,nan,1289.0,0.0,nan,nan
