order,block_display,block_file,break_display,valmean,valence,scenestim,arousal,outliers,blocknum,arousalmean,Introduction_Loop.thisRepN,Introduction_Loop.thisTrialN,Introduction_Loop.thisN,Introduction_Loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,Trial_Loop.thisRepN,Trial_Loop.thisTrialN,Trial_Loop.thisN,Trial_Loop.thisIndex,Break_loop.thisRepN,Break_loop.thisTrialN,Break_loop.thisN,Break_loop.thisIndex,block_key.keys,block_key.rt,Break_key.keys,Break_key.rt,date,frameRate,expName,Participant,
1,cont_inst,procedure\1.csv,break,6.89,Positive,2501.bmp,Low,0,1,3.09,,,,,0,1,1,1,0,10,10,21,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,6.82,Positive,8371.bmp,High,0,1,5.12,,,,,0,1,1,1,0,11,11,9,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,1.92,Negative,3180.bmp,High,0,1,5.77,,,,,0,1,1,1,0,12,12,3,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,2.58,Negative,6311.bmp,High,1,1,4.95,,,,,0,1,1,1,0,13,13,5,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,7.18,Positive,4640.bmp,High,0,1,5.52,,,,,0,1,1,1,0,14,14,4,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,2.12,Negative,9560.bmp,High,0,1,5.5,,,,,0,1,1,1,0,15,15,13,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,4.64,Neutral,2441.bmp,Low,0,1,3.62,,,,,0,1,1,1,0,16,16,19,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,5.22,Neutral,2850.bmp,Low,0,1,3.0,,,,,0,1,1,1,0,17,17,27,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,2.27,Negative,9435.bmp,High,0,1,5.0,,,,,0,1,1,1,0,18,18,12,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,4.72,Neutral,2383.bmp,Low,0,1,3.41,,,,,0,1,1,1,0,19,19,18,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,5.19,Neutral,2514.bmp,Low,0,1,3.5,,,,,0,1,1,1,0,20,20,22,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,5.04,Neutral,2749.bmp,Low,0,1,3.76,,,,,0,1,1,1,0,21,21,25,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,4.79,Neutral,2200.bmp,Low,0,1,3.18,,,,,0,1,1,1,0,22,22,15,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,7.54,Positive,2311.bmp,Low,0,1,4.42,,,,,0,1,1,1,0,23,23,17,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,4.13,Neutral,2520.bmp,Low,0,1,4.22,,,,,0,1,1,1,0,24,24,23,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,7.77,Positive,2550.bmp,High,0,1,4.68,,,,,0,1,1,1,0,25,25,2,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,7.08,Positive,7480.bmp,High,0,1,4.55,,,,,0,1,1,1,0,26,26,7,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,2.54,Negative,9830.bmp,High,0,1,4.86,,,,,0,1,1,1,0,27,27,14,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,4.39,Neutral,2221.bmp,Low,0,1,3.07,,,,,0,1,1,1,0,28,28,16,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,6.6,Positive,5750.bmp,Low,1,1,3.14,,,,,0,1,1,1,0,29,29,28,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,space,3.09177460064,2016_May_18_1435,119.936269791,CGP,102,
1,cont_inst,procedure\1.csv,break,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,2.02,Negative,3230.bmp,High,0,2,5.41,,,,,0,2,2,2,0,0,0,6,,,,,space,3.09175522788,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,6.56,Positive,4653.bmp,High,0,2,5.83,,,,,0,2,2,2,0,1,1,9,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
