block,trial,eyelink_timestamp,psychopy_timestamp,pupil_sample,pupil_running_avg,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,cpu,ram
1,1,13102918920,0.834105518,1680,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102920990,0.836174796,1677,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102923067,0.838252375,1677,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102925137,0.840321376,1677,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102927203,0.842386779,1675,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102929270,0.844452735,1673,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102931335,0.846517861,1665,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102933402,0.848583817,1660,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102935469,0.850649773,1656,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102937547,0.852725415,1655,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102939616,0.854794416,1655,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102941684,0.856861202,1655,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102943749,0.858926605,1655,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102945814,0.860990624,1655,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102947880,0.863056027,1645,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102949947,0.865122813,1643,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102952020,0.867195688,1643,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102954089,0.869264135,1643,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102956158,0.871331752,1637,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102958299,0.873472708,1636,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102960284,0.875456468,1630,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102962353,0.877524639,1630,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102964420,0.879591979,1624,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102966429,0.881599263,1623,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102968523,0.883692064,1622,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102970598,0.88576826,1622,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102972625,0.887792704,1617,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102974707,0.889873881,1616,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102976710,0.891875908,1615,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102978711,0.893877657,1615,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102980721,0.895887986,1613,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102982808,0.897973038,1610,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102984869,0.900034843,1610,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102986929,0.902093604,1609,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102988993,0.904157346,1608,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102991096,0.906262601,1597,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102993186,0.908350697,1596,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102995271,0.910436303,1597,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102997378,0.912540174,1597,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13102999476,0.914639617,1591,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103001486,0.916649393,1590,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103003551,0.918713135,1585,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103005635,0.920797357,1583,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103007721,0.922882962,1582,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103009817,0.924977424,1582,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103011905,0.927065244,1579,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103013991,0.929150572,1575,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103016084,0.931244757,1575,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103018176,0.933336728,1574,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103020253,0.935414308,1574,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103022248,0.937409139,1572,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103024256,0.939415593,1571,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103026280,0.941438376,1570,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103028324,0.943493816,1568,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103030419,0.945576654,1567,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103032499,0.94765534,1566,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103034580,0.949735964,1566,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103036668,0.951824338,1561,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103038656,0.953811419,1561,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103040660,0.95581566,1555,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103042670,0.957825435,1555,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103044752,0.959907443,1553,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103046837,0.961991388,1553,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103048901,0.96405513,1553,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103050983,0.966137415,1549,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103052984,0.968138334,1548,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103055068,0.970235287,1547,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103057175,0.972330302,1538,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103059264,0.974418398,1538,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103061349,0.976515074,1537,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103063442,0.978609259,1537,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103065540,0.980693204,1537,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103067628,0.982781577,1536,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103069693,0.984846426,1532,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103071801,0.986953618,1532,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103073888,0.989039501,1531,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103075968,0.991119018,1526,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103078044,0.993196321,1527,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103080033,0.995184509,1527,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103082129,0.997282015,1524,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103084213,0.999366237,1524,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103086303,1.001455164,1524,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103088381,1.003531083,1524,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103090462,1.005612261,1516,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103092505,1.007657184,1516,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103094513,1.009665299,1516,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103096595,1.011749244,1516,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103098676,1.013830975,1515,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103100762,1.015917134,1508,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103102856,1.018012702,1508,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103104896,1.020053474,1506,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103106977,1.022134098,1504,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103109058,1.024231327,1503,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103111159,1.026318593,1499,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103113246,1.02840586,1499,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103115332,1.030505303,1502,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103117474,1.032660927,1502,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103119514,1.03467347,1503,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103121586,1.036745238,1503,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
1,1,13103123655,1.038815068,1501,1755,1639.635266,1669.709677,1699.784089,16.7,28.5
