block,trial,eyelink_timestamp,psychopy_timestamp,new_pupil_sample,pupil_running_avg,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_area_velocity,cpu,ram
3,10,3881482697.93225,8.764442949970544,1280.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1280.0,1.28,26.2,26.0
3,10,3881493668.1484227,8.775409872359887,1283.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1283.0,1.283,26.2,26.0
3,10,3881504636.63212,8.786375687734107,1283.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1283.0,1.283,26.2,26.0
3,10,3881515606.4064946,8.797342333367851,1285.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1285.0,1.285,26.2,26.0
3,10,3881526583.7842636,8.808316174596257,1288.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1288.0,1.288,26.2,26.0
3,10,3881537552.5739017,8.819281436466554,1287.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1287.0,1.287,26.2,26.0
3,10,3881548530.465826,8.830257491725206,1288.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1288.0,1.288,26.2,26.0
3,10,3881559512.1479077,8.841236868036503,1288.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1288.0,1.288,26.2,26.0
3,10,3881570485.283847,8.852207941723464,1291.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1291.0,1.291,26.2,26.0
3,10,3881581452.164448,8.86317292683816,1292.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1292.0,1.292,26.2,26.0
3,10,3881592426.792696,8.874145661051443,1295.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1295.0,1.295,26.2,26.0
3,10,3881603392.8248887,8.885114797471033,1294.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1294.0,1.294,26.2,26.0
3,10,3881614363.191705,8.896088638706715,1296.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1296.0,1.296,26.2,26.0
3,10,3881625324.6288323,8.90705113302829,1301.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1301.0,1.301,26.2,26.0
3,10,3881636283.7244244,8.918015841387387,1300.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1300.0,1.3,26.2,26.0
3,10,3881647256.374813,8.928990789630916,1302.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1302.0,1.302,26.2,26.0
3,10,3881658237.1957927,8.939971272957337,1302.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1302.0,1.302,26.2,26.0
3,10,3881669212.562451,8.950944837437419,1307.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1307.0,1.307,26.2,26.0
3,10,3881680218.5358,8.961949121585349,1305.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1305.0,1.305,26.2,26.0
3,10,3881691226.6858263,8.972955343007925,1307.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1307.0,1.307,26.2,26.0
3,10,3881702197.3962736,8.983928907488007,1309.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1309.0,1.309,26.2,26.0
3,10,3881713173.1854405,8.994905793013459,1308.0,1274.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1308.0,1.308,26.2,26.0
3,10,3881758006.2274303,9.039743504588841,1313.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1313.0,1.313,22.5,26.1
3,10,3881768990.045651,9.050725371678709,1314.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1314.0,1.314,22.5,26.1
3,10,3881779969.6729155,9.061700596677838,1316.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1316.0,1.316,22.5,26.1
3,10,3881790942.3169975,9.072671670372074,1316.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1316.0,1.316,22.5,26.1
3,10,3881801947.4219975,9.083673463741434,1313.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1313.0,1.313,22.5,26.1
3,10,3881812947.098209,9.094670552287425,1317.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1317.0,1.317,22.5,26.1
3,10,3881823920.614018,9.105641072477738,1320.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1320.0,1.32,22.5,26.1
3,10,3881834888.5922947,9.116606334340759,1319.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1319.0,1.319,22.5,26.1
3,10,3881845867.6403656,9.12758321986621,1319.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1319.0,1.319,22.5,26.1
3,10,3881856852.638126,9.1385661939712,1317.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1317.0,1.317,22.5,26.1
3,10,3881867861.610008,9.149572692149377,1320.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1320.0,1.32,22.5,26.1
3,10,3881878833.438256,9.160548470659705,1321.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1321.0,1.321,22.5,26.1
3,10,3881889796.091013,9.17151483953785,1318.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1318.0,1.318,22.5,26.1
3,10,3881900954.736464,9.182674382565892,1320.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1320.0,1.32,22.5,26.1
3,10,3881911919.46802,9.19363770714699,1316.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1316.0,1.316,22.5,26.1
3,10,3881922880.576427,9.204598264201195,1321.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1321.0,1.321,22.5,26.1
3,10,3881933836.095317,9.215552455912984,1319.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1319.0,1.319,22.5,26.1
3,10,3881944831.7317033,9.226545946665283,1320.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1320.0,1.32,22.5,26.1
3,10,3881955814.6022964,9.237527260251227,1320.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1320.0,1.32,22.5,26.1
3,10,3881966782.347427,9.248492798869847,1324.0,1308.0,1143.1772840822307,1218.663306451613,1294.1493288209952,1324.0,1.324,22.5,26.1
3,10,3881999562.009122,9.281277606190997,1318.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1318.0,1.318,31.0,26.1
3,10,3882010692.155473,9.29240449226927,1322.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1322.0,1.322,31.0,26.1
3,10,3882021900.3708253,9.303607485635439,1325.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1325.0,1.325,31.0,26.1
3,10,3882033041.8250537,9.314746548880066,1325.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1325.0,1.325,31.0,26.1
3,10,3882044149.4429016,9.3258518481598,1327.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1327.0,1.327,31.0,26.1
3,10,3882055345.5971565,9.337047369175707,1328.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1328.0,1.328,31.0,26.1
3,10,3882066466.010469,9.348165952644194,1329.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1329.0,1.329,31.0,26.1
3,10,3882077675.870077,9.359380846421118,1332.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1332.0,1.332,31.0,26.1
3,10,3882089020.9242663,9.37072166318103,1332.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1332.0,1.332,31.0,26.1
3,10,3882100326.766196,9.382029822991171,1332.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1332.0,1.332,31.0,26.1
3,10,3882111378.3269486,9.393083646064042,1333.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1333.0,1.333,31.0,26.1
3,10,3882122420.1028,9.404125568726158,1332.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1332.0,1.332,31.0,26.1
3,10,3882133491.715768,9.415204022894613,1332.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1332.0,1.332,31.0,26.1
3,10,3882144553.3911285,9.426267255599669,1335.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1335.0,1.335,31.0,26.1
3,10,3882155608.178221,9.437324122969585,1331.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1331.0,1.331,31.0,26.1
3,10,3882166757.0260797,9.448481175204506,1326.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1326.0,1.326,31.0,26.1
3,10,3882178057.1325607,9.459788781510724,1330.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1330.0,1.33,31.0,26.1
3,10,3882189387.3765893,9.471110225502343,1329.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1329.0,1.329,31.0,26.1
3,10,3882200650.163523,9.482371060410514,1328.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1328.0,1.328,31.0,26.1
3,10,3882211957.7228203,9.493668703573348,1324.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1324.0,1.324,31.0,26.1
3,10,3882222992.686407,9.504705367915449,1322.0,1321.3333333333333,1143.1772840822307,1218.663306451613,1294.1493288209952,1322.0,1.322,31.0,26.1
3,10,3882249367.52347,9.53107474566059,1326.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1326.0,1.326,22.2,26.0
3,10,3882260377.184736,9.542082627609489,1321.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1321.0,1.321,22.2,26.0
3,10,3882271438.17511,9.553142816024774,1321.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1321.0,1.321,22.2,26.0
3,10,3882282418.4713135,9.564126620396564,1322.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1322.0,1.322,22.2,26.0
3,10,3882293387.55562,9.575098247594724,1321.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1321.0,1.321,22.2,26.0
3,10,3882304355.6487384,9.58606627699919,1319.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1319.0,1.319,22.2,26.0
3,10,3882315320.271919,9.597035966922704,1321.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1321.0,1.321,22.2,26.0
3,10,3882326288.407521,9.608005933601817,1326.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1326.0,1.326,22.2,26.0
3,10,3882337262.3282127,9.618979221326299,1323.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1323.0,1.323,22.2,26.0
3,10,3882348233.3384457,9.629947804234689,1324.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1324.0,1.324,22.2,26.0
3,10,3882359202.159964,9.64091389636451,1326.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1326.0,1.326,22.2,26.0
3,10,3882370175.891078,9.651884139791946,1326.0,1324.6666666666667,1143.1772840822307,1218.663306451613,1294.1493288209952,1326.0,1.326,22.2,26.0
