participant,session,code,expName,date,os,gpu,heap.used,heap.limit,browser,isWebcamUsed,WebcamMessage,WebcamDevice,webcamSize.px,luminance,isWindowSuccess,monitorSize.px,windowSize.px,diagonalSize.in,devicePixelRatio,isPageVisible,isFullscreen,scaling,gpuFullName,gpuType,browserFullName,browserBrand,browserVersion,osFullName,osBrand,osVersion
1154,16,F21,dotprobe_js,2018-04-11 16:55:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),24.5MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5960784313725489,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1154,17,F21,dotprobe_js,2018-04-13 14:07:00,Chrome OS 10176.73,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,27.6MB,2190MB,Chrome 64,True,Success,Real,1280x720,0.5725490196078431,True,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 64,Chrome,64,Chrome OS 10176.73,Chrome OS,10176.73
1154,18,F21,dotprobe_js,2018-04-16 21:45:00,Chrome OS 10176.73,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,27.6MB,2190MB,Chrome 64,True,Success,Real,1280x720,0.5176470588235295,False,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 64,Chrome,64,Chrome OS 10176.73,Chrome OS,10176.73
1154,19,F21,dotprobe_js,2018-04-16 23:29:00,Chrome OS 10176.73,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,27.6MB,2190MB,Chrome 64,True,Success,Real,1280x720,-1,False,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 64,Chrome,64,Chrome OS 10176.73,Chrome OS,10176.73
1154,1,F21,dotprobe_js,2018-03-22 02:37:00,Chrome OS 10032.86,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,27.6MB,2190MB,Chrome 63,True,Success,Real,1280x720,0.4705882352941176,False,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 63,Chrome,63,Chrome OS 10032.86,Chrome OS,10032.86
1154,2,F21,dotprobe_js,2018-03-22 17:17:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 64,True,Success,C922,1280x720,0.6078431372549019,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 64,Chrome,64,Windows 8.1,Microsoft Windows,8.1
1154,3,F21,dotprobe_js,2018-03-26 17:01:00,Chrome OS 10032.86,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,27.6MB,2190MB,Chrome 63,True,Success,Real,1280x720,0.5294117647058824,True,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 63,Chrome,63,Chrome OS 10032.86,Chrome OS,10032.86
1154,4,F21,dotprobe_js,2018-03-26 17:16:00,Chrome OS 10032.86,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,27.6MB,2190MB,Chrome 63,True,Success,Real,1280x720,0.4823529411764706,True,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 63,Chrome,63,Chrome OS 10032.86,Chrome OS,10032.86
1154,5,F21,dotprobe_js,2018-03-27 16:39:00,Chrome OS 10032.86,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,29.4MB,2190MB,Chrome 63,True,Success,Real,1280x720,0.2,True,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 63,Chrome,63,Chrome OS 10032.86,Chrome OS,10032.86
1154,6,F21,dotprobe_js,2018-03-27 21:15:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),29.4MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5529411764705883,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1154,7,F21,dotprobe_js,2018-03-28 17:18:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.6196078431372549,False,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1154,8,F21,dotprobe_js,2018-04-02 21:05:00,Chrome OS 10032.86,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,29.4MB,2190MB,Chrome 63,True,Success,Real,1280x720,0.5843137254901961,True,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 63,Chrome,63,Chrome OS 10032.86,Chrome OS,10032.86
1154,9,F21,dotprobe_js,2018-04-02 21:21:00,Chrome OS 10032.86,Mesa DRI Intel(R) HD Graphics 400 (Braswell) ,27.6MB,2190MB,Chrome 63,True,Success,Real,1280x720,-1,False,1366x768,1366x768,16.32,1,True,True,0.9757142857142858,Intel HD Graphics 400 (Braswell),integrated,Chrome 63,Chrome,63,Chrome OS 10032.86,Chrome OS,10032.86
1164,0,P17,dotprobe_js,2018-03-22 20:52:00,Windows 10,ANGLE (Intel(R) HD Graphics 530 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 65,True,Success,Integrated,1280x720,0.5294117647058824,True,1280x1024,1280x1024,17.07,1,True,True,0.9142857142857144,Intel HD Graphics 530,integrated,Chrome 65,Chrome,65,Windows 10,Microsoft Windows,10
1164,10,P17,dotprobe_js,2018-04-06 18:24:00,Mac OS X 10.13.3,Intel(R) HD Graphics 6000,27.6MB,2190MB,Chrome 65,True,Success,FaceTime,1280x720,0.6352941176470588,True,1440x900,1440x900,17.69,1,True,True,1,Intel HD Graphics 6000,integrated,Chrome 65,Chrome,65,Mac OS X 10.13.3,macOS,10.13.3
1164,11,P17,dotprobe_js,2018-04-09 18:58:00,Mac OS X 10.13.3,Intel(R) HD Graphics 6000,27.6MB,2190MB,Chrome 65,True,Success,FaceTime,1280x720,0.3019607843137255,True,1440x900,1440x900,17.69,1,True,True,1,Intel HD Graphics 6000,integrated,Chrome 65,Chrome,65,Mac OS X 10.13.3,macOS,10.13.3
1164,12,P17,dotprobe_js,2018-04-10 22:23:00,Mac OS X 10.13.3,Intel(R) HD Graphics 6000,27.6MB,2190MB,Chrome 65,True,Success,FaceTime,1280x720,0.4666666666666667,True,1440x900,1440x900,17.69,1,True,True,1,Intel HD Graphics 6000,integrated,Chrome 65,Chrome,65,Mac OS X 10.13.3,macOS,10.13.3
