2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 63550
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 56075
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 56663
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 61830
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 52237
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 53308
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 57757
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 55829
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:57 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 64607
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65471
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
